marker-color,marker-size,marker-symbol,lon,lat
#7e7e7e,medium,,-73.91097843647003,40.67588627839574
,,,-73.91114473342896,40.67436467143694
,,,-73.91136467456818,40.67224087318395
,,,-73.91062438488007,40.66911608150882
,,,-73.910071849823,40.66697584022121
,,,-73.9096587896347,40.66531975087222
,,,-73.90928864479065,40.663875216756345
,,,-73.90888094902039,40.662284158467486
,,,-73.90849471092223,40.66081921190608
,,,-73.90809774398804,40.65925249734222
,,,-73.90775978565216,40.657881083224005
,,,-73.90718579292296,40.65562246143234
,,,-73.90681028366089,40.65412888033789
,,,-73.90651524066925,40.65299748057691
,,,-73.90603244304657,40.65108463878408
,,,-73.89906406402588,40.65119452692486
,,,-73.89927864074707,40.65894321946907
,,,-73.90055537223816,40.663639205392236
,,,-73.90183210372925,40.66837554951927
,,,-73.9031195640564,40.67539806604288
,,,-73.9024007320404,40.66350899186833
,,,-73.9089024066925,40.66256493621749
,,,-73.91624093055725,40.66149064974048
,,,-73.92271041870117,40.66485180662682
